riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs182432302-T	2E-8	-	NR	-	-	-	HCN1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	5:45560879	38494474	"Thériault S"
rs1965668-G	2E-8	-	NR	-	-	-	RPL7AP33	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	5:173226398	38494474	"Thériault S"
rs10455872-G	3E-61	-	NR	-	-	-	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	6:160589086	38494474	"Thériault S"
rs7804522-C	2E-8	-	NR	-	-	-	FERD3L,POLR1F	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:19418435	38494474	"Thériault S"
rs1800797-A	1E-19	-	NR	-	-	-	IL6,STEAP1B,IL6-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:22726602	38494474	"Thériault S"
rs2286427-T	5E-8	-	NR	-	-	-	SSC4D	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:76395203	38494474	"Thériault S"
rs11570891-C	7E-9	-	NR	-	-	-	LPL	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	8:19965299	38494474	"Thériault S"
rs17810852-G	1E-8	-	NR	-	-	-	MYMK,SLC2A6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	9:133499953	38494474	"Thériault S"
rs187229435-C	2E-9	-	NR	-	-	-	RPLP2,PIDD1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:805953	38494474	"Thériault S"
rs174551-T	3E-10	-	NR	-	-	-	FADS1,FADS2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:61806212	38494474	"Thériault S"
rs12270146-G	8E-10	-	NR	-	-	-	LINC02956,MYEOV	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:69348673	38494474	"Thériault S"
rs10770612-A	7E-13	-	NR	-	-	-	LINC02468,TCP1P3	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	12:20077705	38494474	"Thériault S"
rs17766960-G	2E-9	-	NR	-	-	-	HMGA2,MIR6074	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	12:66013637	38494474	"Thériault S"
rs12429277-A	2E-8	-	NR	-	-	-	SMAD9	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	13:36871807	38494474	"Thériault S"
rs28744617-A	2E-8	-	NR	-	-	-	STARD9	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:42688824	38494474	"Thériault S"
rs4646642-A	4E-9	-	NR	-	-	-	ALDH1A2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:57954718	38494474	"Thériault S"
rs2869553-G	3E-8	-	NR	-	-	-	CHRNB4	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:78720271	38494474	"Thériault S"
rs150429885-CT	2E-9	-	NR	-	-	-	TMEM170A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	16:75464355	38494474	"Thériault S"
rs6511720-G	3E-8	-	NR	-	-	-	LDLR	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	19:11091630	38494474	"Thériault S"
rs61736786-T	4E-8	-	NR	-	-	-	ASCC2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	22:29793653	38494474	"Thériault S"
rs10455872-G	3E-51	-	0.07	1.42	-	[1.36-1.49]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	6:160589086	36802703	"Small AM"
rs11166276-T	2E-24	-	0.49	1.15	-	[1.12-1.18]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	1:99579683	36802703	"Small AM"
rs2246363-A	4E-11	-	0.75	1.11	-	[1.08-1.15]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	2:145025715	36802703	"Small AM"
rs1522388-T	3E-8	-	0.56	1.08	-	[1.05-1.11]	FLNB,PPIAP16	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	3:57960041	36802703	"Small AM"
rs13311155-A	5E-12	-	0.41	1.1	-	[1.07-1.13]	TOMM7,MTCYBP42	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	7:22750170	36802703	"Small AM"
rs10455872-G	3E-49	-	NR	1.42	-	[1.35-1.48]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	6:160589086	36802703	"Small AM"
rs7543130-A	6E-24	-	NR	1.14	-	[1.11-1.17]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	1:99584229	36802703	"Small AM"
rs1474347-C	7E-14	-	NR	1.1	-	[1.07-1.13]	IL6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	7:22728505	36802703	"Small AM"
rs1522387-A	1E-8	-	NR	1.08	-	[1.05-1.1]	FLNB,PPIAP16	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	3:57960369	36802703	"Small AM"
rs2246363-A	1E-10	-	NR	1.11	-	[1.08-1.14]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	2:145025715	36802703	"Small AM"
rs12420422-?	5E-10	-	NR	-	-	-	BSX,SAE1P1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	11:123009573	27790247	"He L"
rs12310617-?	2E-6	-	NR	-	-	-	TEAD4,RPL13AP24	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	12:3060327	27790247	"He L"
rs16867253-?	6E-7	-	NR	-	-	-	GRHL1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	2:9956965	27790247	"He L"
rs222826-?	5E-10	-	NR	-	-	-	METAP2P1,RNU7-2P	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	2:146120964	27790247	"He L"
rs4905014-?	5E-16	-	NR	-	-	-	ITPK1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	14:92945686	27790247	"He L"
rs7632505-?	8E-22	-	NR	-	-	-	SEMA5B	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	3:123019460	27790247	"He L"
rs7190256-?	5E-10	-	NR	-	-	-	ZFHX3	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	16:72963084	27790247	"He L"
rs3803802-?	5E-6	-	NR	-	-	-	DNAH2	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	17:7718146	27790247	"He L"
rs17140821-?	5E-7	-	NR	-	-	-	FERD3L,POLR1F	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	7:19177581	27790247	"He L"
rs8082812-?	6E-64	-	NR	-	-	-	THEMIS3P,AKR1B1P6	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	18:8522684	27790247	"He L"
rs1333048-?	1E-6	-	NR	-	-	-	CDKN2B-AS1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	9:22125348	27790247	"He L"
rs460976-?	1E-8	-	NR	-	-	-	MX1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	21:41463567	27790247	"He L"
rs7081476-?	2E-8	-	NR	-	-	-	ANKRD26,FAM238C	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	10:26969741	27790247	"He L"
rs4506565-?	2E-9	-	NR	-	-	-	TCF7L2	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	10:112996282	27790247	"He L"
rs10498345-T	9E-7	" "	0.30	2.33	-	[1.64-3.23]	CLEC14A,LINC00639	"Coronary spasm"	"Coronary Vasospasm"	-	GCST000125	14:38551301	18075462	"Suzuki S"
rs10861032-C	1E-7	-	NR	-	-	-	LINC02401,C12orf42	"Coronary restenosis"	"Coronary Restenosis"	-	GCST001214	12:103518728	21878436	"Sampietro ML"
rs146300195-?	1E-8	-	NR	3.6	-	[2.32-5.53]	SLC27A6	"Congenital right-sided heart lesions"	"congenital right-sided heart lesions"	-	GCST011987	5:128991152	33201861	"Lahm H"
chr14:23396970-?	5E-22	-	NR	44.2	-	[20.5-95.5]	-	"Aortic coarctation"	"Aortic Coarctation"	-	GCST005687	-	29590334	"Bjornsson T"
rs150246290-?	1E-10	-	NR	3.78	-	[2.51-5.64]	MACROD2	"Congenital heart disease (transposition of the great arteries)"	"transposition of the great arteries"	-	GCST011988	20:15132234	33201861	"Lahm H"
rs148563140-?	3E-8	-	NR	3.42	-	[2.20-5.26]	RNU7-174P,RNU2-71P	"Congenital heart disease (transposition of the great arteries)"	"transposition of the great arteries"	-	GCST011988	8:80563171	33201861	"Lahm H"
rs2474937-C	8E-10	-	0.08	1.4	-	[1.26-1.56]	RNA5SP56,PSMC1P12	"Congenital heart malformation"	"congenital heart malformation"	-	GCST002036	1:118360355	23708190	"Hu Z"
rs1531070-A	5E-12	-	0.11	1.4	-	[1.27-1.54]	MAML3	"Congenital heart malformation"	"congenital heart malformation"	-	GCST002036	4:139874173	23708190	"Hu Z"
rs112844193-T	1E-7	-	0.054	2.67	-	[1.85-3.85]	KIF26B	"Ischemic heart disease in rheumatoid arthritis"	"ischemic cardiomyopathy"	"rheumatoid arthritis"	GCST007088	1:245175674	30251476	"López-Mejías R"
rs3779381-G	2E-7	-	0.283	1.77	-	[1.23-2.19]	WNT16	"Ischemic heart disease in rheumatoid arthritis"	"ischemic cardiomyopathy"	"rheumatoid arthritis"	GCST007088	7:121326736	30251476	"López-Mejías R"
rs112941217-C	5E-7	-	0.03	4.81	-	[2.61-8.87]	LMNA	"Ischemic heart disease in rheumatoid arthritis"	"ischemic cardiomyopathy"	"rheumatoid arthritis"	GCST007088	1:156087626	30251476	"López-Mejías R"
rs2301753-?	7E-7	-	0.883	2.5	-	[1.75-3.57]	RNF39	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	6:30071463	26534935	"Weng L"
chr17:30331990-A	2E-6	-	0.053	2.41	-	[1.68-3.47]	-	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	-	26534935	"Weng L"
chr15:61195932-A	3E-6	-	0.04	2.64	-	[1.76-3.96]	-	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	-	26534935	"Weng L"
rs8095193-A	7E-6	-	0.222	1.6	-	[1.30-1.96]	BCL2,PHLPP1	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	18:63015882	26534935	"Weng L"
rs12818945-A	6E-6	(Adjusted)	0.047	2.38	-	[1.63-3.45]	ATP2B1	"Nonobstructive coronary artery disease"	"non-obstructive coronary artery disease"	-	GCST008436	12:89624457	26534935	"Weng L"
rs12612435-T	5E-7	-	0.68	3.125	-	NR	RN7SKP141,UBBP1	"Takotsubo syndrome"	"Takotsubo cardiomyopathy"	-	GCST004095	2:136347972	28108127	"Eitel I"
rs7070797-A	2E-6	-	0.11	2.74	-	NR	LINC02625	"Takotsubo syndrome"	"Takotsubo cardiomyopathy"	-	GCST004095	10:61792015	28108127	"Eitel I"
rs9392780-G	5E-6	-	0.06	3.19	-	NR	LY86-AS1	"Takotsubo syndrome"	"Takotsubo cardiomyopathy"	-	GCST004095	6:6405398	28108127	"Eitel I"
rs13273616-C	6E-6	-	0.53	2.2222223	-	NR	PIWIL2	"Takotsubo syndrome"	"Takotsubo cardiomyopathy"	-	GCST004095	8:22333990	28108127	"Eitel I"
rs1154275-G	9E-6	-	0.43	2.09	-	NR	LINC02042,CD200R1L-AS1	"Takotsubo syndrome"	"Takotsubo cardiomyopathy"	-	GCST004095	3:112766375	28108127	"Eitel I"
rs138741144-?	7E-8	-	NR	2.46	-	[1.77-3.42]	ASIC2	"Congenital heart disease (septal defects)"	"heart septal defect"	-	GCST011985	17:33959545	33201861	"Lahm H"
rs185531658-?	6E-8	-	NR	2.16	-	[1.67-3.90]	KCNN2,YTHDC2	"Congenital heart disease (septal defects)"	"heart septal defect"	-	GCST011985	5:113800824	33201861	"Lahm H"
rs870142-?	4E-7	"(atrial septal defect)"	NR	1.4	-	[1.23-1.60]	STX18-AS1	"Congenital heart disease (septal defects)"	"heart septal defect"	-	GCST011985	4:4646320	33201861	"Lahm H"
rs187369228-?	2E-8	"(atrial septal defect type II)"	NR	2.97	-	[2.03-4.35]	P3H2	"Congenital heart disease (septal defects)"	"heart septal defect"	-	GCST011985	3:190084650	33201861	"Lahm H"
rs72917381-?	2E-8	"(atrial septal defect type II)"	NR	5.93	-	[3.19-11.13]	WDR7	"Congenital heart disease (septal defects)"	"heart septal defect"	-	GCST011985	18:56878992	33201861	"Lahm H"
rs12143842-T	1E-11	-	NR	1.32	-	[1.21-1.42]	NOS1AP,OLFML2B	"Long QT syndrome"	"familial long QT syndrome"	-	GCST010651	1:162064100	32429735	"Lahrouchi N"
rs3934467-T	3E-6	-	NR	1.22	-	[1.12-1.33]	NOS1AP	"Long QT syndrome"	"familial long QT syndrome"	-	GCST010651	1:162212887	32429735	"Lahrouchi N"
rs179405-?	2E-8	-	NR	1.38	-	[1.23-1.54]	KCNQ1	"Long QT syndrome"	"familial long QT syndrome"	-	GCST010651	11:2504165	32429735	"Lahrouchi N"
rs17061696-?	4E-8	-	NR	1.25	-	[1.15-1.35]	KLF12	"Long QT syndrome"	"familial long QT syndrome"	-	GCST010651	13:73937854	32429735	"Lahrouchi N"
rs1805128-T	5E-7	-	NR	2.79	-	[1.67-3.9]	KCNE1	"Long QT syndrome"	"familial long QT syndrome"	-	GCST010651	21:34449382	32429735	"Lahrouchi N"
rs576341583-A	3E-13	-	0.9992	-	"2.529 unit decrease"	[2.49-2.57]	LINC01847	"Mitral valve stenosis and aortic valve stenosis (PheCode 394.1)"	"aortic valve stenosis"	-	GCST90480118	5:159805581	39024449	"Verma A"
rs149553083-G	4E-12	-	0.9993	-	"2.49 unit decrease"	[2.45-2.53]	NPM1P10,HACE1	"Mitral valve stenosis and aortic valve stenosis (PheCode 394.1)"	"aortic valve stenosis"	-	GCST90480118	6:104081872	39024449	"Verma A"
rs190698868-A	4E-11	-	0.9998	-	"3.735 unit decrease"	[3.72-3.75]	ANKRD7,GTF3AP6	"Mitral valve stenosis and aortic valve stenosis (PheCode 394.1)"	"aortic valve stenosis"	-	GCST90480118	7:118524140	39024449	"Verma A"
rs1421085-T	3E-14	-	0.6657	-	"0.07866 unit decrease"	[0.06-0.097]	FTO	"Heart failure with preserved EF [Diastolic heart failure] (PheCode 428.4)"	"diastolic heart failure"	-	GCST90480183	16:53767042	39024449	"Verma A"
rs964943276-T	5E-15	-	0.9991	-	"1.843 unit decrease"	[1.78-1.9]	NRXN1-DT	"Chronic pulmonary heart disease (PheCode 415.2)"	"chronic pulmonary heart disease"	-	GCST90480140	2:51590932	39024449	"Verma A"
rs55872725-C	4E-15	-	0.5964	-	"0.08068 unit decrease"	[0.06-0.101]	FTO	"Heart failure with preserved EF [Diastolic heart failure] (PheCode 428.4)"	"diastolic heart failure"	-	GCST90475984	16:53775211	39024449	"Verma A"
rs7689774-T	2E-15	-	0.2007	1.21	-	[1.15-1.26]	PITX2,LINC01438	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	4:110782354	33580673	"Thorolfsdottir RB"
rs11554495-A	9E-14	-	0.0164	1.62	-	[1.43-1.84]	KRT8	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	12:52904798	33580673	"Thorolfsdottir RB"
rs12932445-C	8E-10	-	0.2010	1.16	-	[1.11-1.21]	ZFHX3	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	16:73035989	33580673	"Thorolfsdottir RB"
rs35813871-A	6E-9	-	0.2663	1.13	-	[1.09-1.18]	TTN	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	2:178785681	33580673	"Thorolfsdottir RB"
rs34883828-A	1E-7	-	0.1523	1.15	-	[1.09-1.21]	CCDC141	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	2:178905448	33580673	"Thorolfsdottir RB"
rs6795970-A	3E-8	-	0.3578	1.12	-	[1.07-1.16]	SCN10A	"Sick sinus syndrome"	"familial sick sinus syndrome"	-	GCST011360	3:38725184	33580673	"Thorolfsdottir RB"
rs1906618-A	1E-17	-	0.858	-	"0.2122 unit decrease"	[0.17-0.25]	PITX2,LINC01438	"Sinoatrial node dysfunction (Bradycardia) (PheCode 427.8)"	"sinoatrial node disorder"	-	GCST90480179	4:110774266	39024449	"Verma A"
rs560163526-G	1E-11	-	0.9996	-	"2.973 unit decrease"	[2.94-3]	RFX4	"Sinoatrial node dysfunction (Bradycardia) (PheCode 427.8)"	"sinoatrial node disorder"	-	GCST90480179	12:106622768	39024449	"Verma A"
chr4:111669220-T	5E-17	-	0.2044	-	"0.1913 unit increase"	[0.15-0.24]	-	"Sinoatrial node dysfunction (Bradycardia) (PheCode 427.8)"	"sinoatrial node disorder"	-	GCST90475980	-	39024449	"Verma A"
rs4868240-T	5E-13	-	0.7485	-	"0.1285 unit decrease"	[0.098-0.159]	BNIP1,RPL7AP33	"Paroxysmal supraventricular tachycardia (PheCode 427.11)"	"Paroxysmal supraventricular tachycardia"	-	GCST90480165	5:173204048	39024449	"Verma A"
rs138404382-C	4E-12	-	0.9984	-	"1.298 unit decrease"	[1.21-1.38]	HYDIN	"Paroxysmal supraventricular tachycardia (PheCode 427.11)"	"Paroxysmal supraventricular tachycardia"	-	GCST90480165	16:71228869	39024449	"Verma A"
