riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs1801689-C	6E-27	-	0.0301105	-	"0.149312 unit increase"	[0.12-0.18]	APOH	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	17:66214462	36764567	"Davyson E"
rs1065853-T	2E-16	-	0.0807195	-	"0.0719176 unit decrease"	[0.055-0.089]	APOC1,APOE	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	19:44909976	36764567	"Davyson E"
rs73307905-C	4E-21	-	0.186876	-	"0.0573325 unit increase"	[0.045-0.069]	PCIF1,PLTP	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	20:45917134	36764567	"Davyson E"
rs738408-T	4E-17	-	0.216181	-	"0.0484654 unit increase"	[0.037-0.06]	PNPLA3	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	22:43928850	36764567	"Davyson E"
rs2070895-A	1E-68	-	0.219229	-	"0.100215 unit decrease"	[0.089-0.111]	ALDH1A2,LIPC	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	15:58431740	36764567	"Davyson E"
rs12446515-T	1E-81	-	0.323364	-	"0.0971008 unit decrease"	[0.087-0.107]	HERPUD1,CETP	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	16:56953103	36764567	"Davyson E"
rs77960347-G	6E-13	-	0.0131497	-	"0.149067 unit increase"	[0.11-0.19]	LIPG	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	18:49583585	36764567	"Davyson E"
rs4939883-T	2E-12	-	0.180932	-	"0.0433111 unit decrease"	[0.031-0.055]	SMUG1P1,LIPG	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	18:49640844	36764567	"Davyson E"
rs55997232-T	2E-24	-	0.118461	-	"0.0747034 unit decrease"	[0.06-0.089]	SMARCA4	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	19:11077441	36764567	"Davyson E"
rs58542926-T	8E-16	-	0.0746244	-	"0.0725835 unit decrease"	[0.055-0.09]	TM6SF2	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	19:19268740	36764567	"Davyson E"
rs1065853-T	7E-51	-	0.0801877	-	"0.131115 unit decrease"	[0.11-0.15]	APOC1,APOE	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	19:44909976	36764567	"Davyson E"
rs416867-A	5E-10	-	0.223189	-	"0.0355194 unit increase"	[0.024-0.047]	LILRA5,MIR4752	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	19:54292777	36764567	"Davyson E"
rs6065908-T	4E-43	-	0.185594	-	"0.0838577 unit increase"	[0.072-0.096]	PCIF1	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	20:45941291	36764567	"Davyson E"
rs11591147-T	5E-19	-	0.0173273	-	"0.161655 unit decrease"	[0.13-0.2]	PCSK9	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	1:55039974	36764567	"Davyson E"
rs1367117-A	2E-10	-	0.335513	-	"0.0320383 unit increase"	[0.022-0.042]	APOB	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	2:21041028	36764567	"Davyson E"
rs4245791-C	4E-11	-	0.325318	-	"0.0335303 unit increase"	[0.024-0.043]	ABCG8	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	2:43847292	36764567	"Davyson E"
rs13354746-T	5E-14	-	0.223137	-	"0.042748 unit increase"	[0.032-0.054]	HMGCR,ANKRD31	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	5:75323307	36764567	"Davyson E"
rs1461729-A	2E-14	-	0.100032	-	"0.0647248 unit decrease"	[0.048-0.081]	PPP1R3B-DT	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	8:9329732	36764567	"Davyson E"
rs1441754-A	5E-14	-	0.263738	-	"0.0405419 unit increase"	[0.03-0.051]	RPL30P9,LPL	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	8:20011428	36764567	"Davyson E"
rs115478735-T	7E-36	-	0.184202	-	"0.0767194 unit increase"	[0.065-0.089]	ABO	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	9:133274295	36764567	"Davyson E"
rs964184-G	5E-29	-	0.132171	-	"0.0780055 unit decrease"	[0.064-0.092]	ZPR1	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	11:116778201	36764567	"Davyson E"
rs45617141-G	4E-14	-	0.0161371	-	"0.150418 unit decrease"	[0.11-0.19]	ADAL	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	15:43331199	36764567	"Davyson E"
rs2043085-T	5E-77	-	0.386974	-	"0.0899152 unit decrease"	[0.08-0.099]	ALDH1A2	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	15:58388755	36764567	"Davyson E"
rs2070895-A	4E-100	-	0.219229	-	"0.121244 unit decrease"	[0.11-0.13]	ALDH1A2,LIPC	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	15:58431740	36764567	"Davyson E"
rs11645958-T	1E-11	-	0.276687	-	"0.0400846 unit increase"	[0.029-0.052]	PDXDC1	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	16:15010950	36764567	"Davyson E"
rs77960347-G	2E-10	-	0.0131497	-	"0.131964 unit increase"	[0.091-0.172]	LIPG	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	18:49583585	36764567	"Davyson E"
rs4939883-T	2E-11	-	0.180932	-	"0.0411029 unit decrease"	[0.029-0.053]	SMUG1P1,LIPG	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	18:49640844	36764567	"Davyson E"
rs55997232-T	5E-21	-	0.118461	-	"0.0686069 unit decrease"	[0.054-0.083]	SMARCA4	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	19:11077441	36764567	"Davyson E"
rs1065853-T	3E-181	-	0.0801877	-	"0.250057 unit decrease"	[0.23-0.27]	APOC1,APOE	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	19:44909976	36764567	"Davyson E"
rs103294-T	6E-12	-	0.223052	-	"0.0391582 unit increase"	[0.028-0.05]	MIR4752,LILRA5	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	19:54293995	36764567	"Davyson E"
rs4814176-T	3E-10	-	0.391638	-	"0.0306662 unit decrease"	[0.021-0.04]	LINC01723	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	20:12978750	36764567	"Davyson E"
rs6073958-C	3E-18	-	0.198034	-	"0.051838 unit decrease"	[0.04-0.063]	PLTP,PCIF1	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	20:45923216	36764567	"Davyson E"
rs76970536-A	7E-11	-	0.0714348	-	"0.059934 unit increase"	[0.042-0.078]	ST3GAL4	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	11:126380785	36764567	"Davyson E"
rs61983884-C	1E-10	-	0.357985	-	"0.0323641 unit increase"	[0.022-0.042]	IGHG1	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	14:105737956	36764567	"Davyson E"
rs139974673-C	1E-12	-	0.0257288	-	"0.106524 unit decrease"	[0.077-0.136]	CATSPER2P1	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	15:43735687	36764567	"Davyson E"
rs2043082-A	3E-46	-	0.355636	-	"0.0706601 unit decrease"	[0.061-0.08]	ALDH1A2	"Cholesterol to total lipids in small LDL percentage (UKB data field 23625)"	"cholesterol to total lipids in small LDL percentage "	-	GCST90269722	15:58382109	36764567	"Davyson E"
rs11591147-T	3E-15	-	0.0173273	-	"0.14305 unit decrease"	[0.11-0.18]	PCSK9	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	1:55039974	36764567	"Davyson E"
rs4846917-T	7E-11	-	0.204979	-	"0.0382456 unit decrease"	[0.027-0.05]	GALNT2	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	1:230163476	36764567	"Davyson E"
rs588245-A	6E-16	-	0.492612	-	"0.0383564 unit increase"	[0.029-0.048]	TDRD15,APOB	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	2:21047185	36764567	"Davyson E"
rs1820164-C	3E-15	-	0.402244	-	"0.0381931 unit increase"	[0.029-0.048]	ANKRD31,HMGCR	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	5:75318089	36764567	"Davyson E"
rs9987289-A	2E-14	-	0.0901969	-	"0.0673082 unit decrease"	[0.05-0.084]	PPP1R3B-DT	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	8:9325848	36764567	"Davyson E"
rs15285-T	4E-18	-	0.287182	-	"0.0454575 unit increase"	[0.035-0.056]	LPL	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	8:19967156	36764567	"Davyson E"
rs2519093-T	7E-17	-	0.184584	-	"0.0511255 unit increase"	[0.039-0.063]	ABO	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	9:133266456	36764567	"Davyson E"
rs102275-C	6E-98	-	0.348425	-	"0.103862 unit decrease"	[0.094-0.114]	TMEM258	"Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)"	"cholesterol to total lipids in medium LDL percentage "	-	GCST90269717	11:61790331	36764567	"Davyson E"
rs2489835-T	7E-29	-	0.351725	-	"0.0527053 unit increase"	[0.043-0.062]	DOCK7	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	1:62489300	36764567	"Davyson E"
rs602633-T	5E-19	-	0.216398	-	"0.0486341 unit decrease"	[0.038-0.059]	CELSR2,PSRC1	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	1:109278889	36764567	"Davyson E"
rs5082-G	7E-14	-	0.379744	-	"0.0348518 unit decrease"	[0.026-0.044]	APOA2,TOMM40L	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	1:161223893	36764567	"Davyson E"
rs2090034-A	5E-10	-	0.463364	-	"0.0281046 unit increase"	[0.019-0.037]	RN7SL140P,RPS16P2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	2:20172648	36764567	"Davyson E"
rs62433138-C	3E-11	-	0.429126	-	"0.0302602 unit increase"	[0.021-0.039]	C7orf50	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	7:1011241	36764567	"Davyson E"
rs12534274-A	6E-10	-	0.265927	-	"0.0317642 unit decrease"	[0.022-0.042]	PON2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	7:95428198	36764567	"Davyson E"
rs2519093-T	8E-11	-	0.184613	-	"0.037962 unit increase"	[0.027-0.049]	ABO	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	9:133266456	36764567	"Davyson E"
rs3741298-C	1E-24	-	0.189114	-	"0.058902 unit decrease"	[0.048-0.07]	ZPR1	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	11:116786845	36764567	"Davyson E"
rs9738226-A	2E-15	-	0.379212	-	"0.0369599 unit decrease"	[0.028-0.046]	HNF1A	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	12:120985856	36764567	"Davyson E"
rs10773112-C	2E-10	-	0.278976	-	"0.032035 unit increase"	[0.022-0.042]	SCARB1	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	12:124853983	36764567	"Davyson E"
rs1318175-T	6E-139	-	0.159267	-	"0.154405 unit increase"	[0.14-0.17]	ALDH1A2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	15:58293930	36764567	"Davyson E"
rs12898210-G	1E-37	-	0.121155	-	"0.0891786 unit increase"	[0.076-0.103]	ALDH1A2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	15:58347511	36764567	"Davyson E"
rs1601933-T	1E-200	-	0.466715	-	"0.163646 unit increase"	[0.15-0.17]	ALDH1A2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	15:58379360	36764567	"Davyson E"
rs11632618-A	3E-101	-	0.0705493	-	"0.18721 unit decrease"	[0.17-0.2]	LIPC,ALDH1A2	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	15:58432507	36764567	"Davyson E"
rs80236739-G	2E-14	-	0.049611	-	"0.0797094 unit increase"	[0.059-0.1]	ADAM10	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	15:58680500	36764567	"Davyson E"
rs3764261-A	6E-64	-	0.324385	-	"0.0811542 unit decrease"	[0.072-0.091]	HERPUD1,CETP	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	16:56959412	36764567	"Davyson E"
rs55714927-T	3E-14	-	0.190466	-	"0.0435472 unit decrease"	[0.032-0.055]	ASGR1	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	17:7176997	36764567	"Davyson E"
rs77960347-G	8E-24	-	0.013153	-	"0.198114 unit decrease"	[0.16-0.24]	LIPG	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	18:49583585	36764567	"Davyson E"
rs7241918-G	2E-18	-	0.177511	-	"0.0518454 unit increase"	[0.04-0.063]	LIPG,SMUG1P1	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	18:49634583	36764567	"Davyson E"
rs8101801-A	1E-10	-	0.0351811	-	"0.0787193 unit increase"	[0.055-0.103]	DOCK6	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	19:11224801	36764567	"Davyson E"
rs144439590-T	1E-12	-	0.0308462	-	"0.0945263 unit decrease"	[0.068-0.121]	CEACAM22P	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	19:44537330	36764567	"Davyson E"
rs7412-T	1E-200	-	0.0802088	-	"0.308771 unit decrease"	[0.29-0.32]	APOE	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	19:44908822	36764567	"Davyson E"
rs12976395-G	3E-31	-	0.495874	-	"0.0562784 unit increase"	[0.047-0.066]	APOC1P1,APOC4	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	19:44938650	36764567	"Davyson E"
rs1057208-T	3E-171	-	0.185734	-	"0.161311 unit increase"	[0.15-0.17]	PCIF1,PLTP	"Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)"	"cholesterol to total lipids in very large HDL percentage "	-	GCST90269727	20:45934368	36764567	"Davyson E"
rs10889335-G	2E-15	-	0.354831	-	"0.0394088 unit decrease"	[0.03-0.049]	DOCK7	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	1:62494430	36764567	"Davyson E"
rs36209093-C	1E-11	-	0.325661	-	"0.0379538 unit decrease"	[0.027-0.049]	GSTM2	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	1:109687165	36764567	"Davyson E"
rs267734-C	3E-15	-	0.216316	-	"0.0451154 unit increase"	[0.034-0.056]	CERS2,ANXA9	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	1:150979001	36764567	"Davyson E"
rs4656292-A	8E-25	-	0.380676	-	"0.0500495 unit decrease"	[0.041-0.06]	TOMM40L,APOA2	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	1:161224851	36764567	"Davyson E"
rs1260326-T	4E-75	-	0.395906	-	"0.0883888 unit increase"	[0.079-0.098]	GCKR	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	2:27508073	36764567	"Davyson E"
rs13108218-A	6E-14	-	0.384505	-	"0.0366417 unit increase"	[0.027-0.046]	HGFAC	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	4:3442204	36764567	"Davyson E"
rs9270000-A	5E-10	-	0.430038	-	"0.0352573 unit increase"	[0.024-0.046]	HLA-DRB1	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	6:32584963	36764567	"Davyson E"
rs34594435-T	1E-12	-	0.197174	-	"0.0422237 unit decrease"	[0.031-0.054]	TBL2,BCL7B	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	7:73562919	36764567	"Davyson E"
rs4841132-A	4E-37	-	0.0900893	-	"0.111474 unit decrease"	[0.094-0.129]	PPP1R3B-DT	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	8:9326086	36764567	"Davyson E"
rs17489373-A	5E-25	-	0.265841	-	"0.0551874 unit increase"	[0.045-0.066]	RPL30P9,LPL	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	8:19997833	36764567	"Davyson E"
rs112875651-A	1E-15	-	0.392278	-	"0.0391315 unit decrease"	[0.03-0.049]	TRIB1AL	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	8:125494452	36764567	"Davyson E"
rs635634-T	1E-19	-	0.184486	-	"0.0556414 unit increase"	[0.044-0.068]	Y_RNA,ABO	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	9:133279427	36764567	"Davyson E"
rs56776911-A	8E-10	-	0.448282	-	"0.0291517 unit decrease"	[0.02-0.038]	SBF2,ADM-DT	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	11:10299801	36764567	"Davyson E"
rs600518-T	3E-17	-	0.15728	-	"0.0548694 unit decrease"	[0.042-0.068]	RN7SL786P,DGAT2-DT	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	11:75744328	36764567	"Davyson E"
rs613808-A	6E-41	-	0.283505	-	"0.0704036 unit increase"	[0.06-0.081]	APOA1-AS	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	11:116840252	36764567	"Davyson E"
rs174418-T	4E-32	-	0.40326	-	"0.0569139 unit decrease"	[0.047-0.066]	ALDH1A2	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	15:58395404	36764567	"Davyson E"
rs2070895-A	3E-54	-	0.219229	-	"0.0883836 unit decrease"	[0.077-0.1]	ALDH1A2,LIPC	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	15:58431740	36764567	"Davyson E"
rs7499892-T	7E-26	-	0.178848	-	"0.0647925 unit decrease"	[0.053-0.077]	CETP	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	16:56972678	36764567	"Davyson E"
rs55714927-T	3E-18	-	0.19047	-	"0.0523447 unit decrease"	[0.041-0.064]	ASGR1	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	17:7176997	36764567	"Davyson E"
rs72836561-T	2E-10	-	0.0319091	-	"0.0849652 unit decrease"	[0.059-0.111]	CD300LG	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	17:43848758	36764567	"Davyson E"
rs77960347-G	3E-20	-	0.0131497	-	"0.190067 unit increase"	[0.15-0.23]	LIPG	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	18:49583585	36764567	"Davyson E"
rs4939883-T	2E-24	-	0.180932	-	"0.0623775 unit decrease"	[0.05-0.074]	SMUG1P1,LIPG	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	18:49640844	36764567	"Davyson E"
rs58542926-T	1E-16	-	0.0746244	-	"0.0743357 unit decrease"	[0.057-0.092]	TM6SF2	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	19:19268740	36764567	"Davyson E"
rs1065853-T	1E-17	-	0.0801877	-	"0.0744596 unit decrease"	[0.057-0.092]	APOC1,APOE	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	19:44909976	36764567	"Davyson E"
rs58952297-T	4E-184	-	0.185798	-	"0.175018 unit increase"	[0.16-0.19]	PCIF1,PLTP	"Cholesterol in small HDL (UKB data field 23575)"	"cholesterol in small HDL measurement "	-	GCST90269672	20:45932181	36764567	"Davyson E"
